STATION LAT LON
BB-01 48.73 -52.97
BB-02 48.80 -52.75
BB-03 48.83 -52.65
BB-04 48.92 -52.40
BB-05 49.03 -52.07
BB-06 49.10 -51.83
BB-07 49.19 -51.54
BB-08 49.28 -51.28
BB-09 49.37 -51.02
BB-10 49.52 -50.53
BB-11 49.69 -50.02
BB-12 49.85 -49.50
BB-13 50.00 -49.00
BB-14 50.18 -48.47
BB-15 50.33 -47.95
