Depth [m],TIME,Temperature [degrees_C],Northward velocity [m s-1],Eastward velocity [m s-1],Salinity [1e-3],LAT,LON,STATION
0.49402499198913574,2020-07-25 12:00:00,9.331519820249058,-0.34934551757138255,0.08229464243671393,29.615211410917652,53.233000000000004,-55.65,SI-01
1.5413750410079956,2020-07-25 12:00:00,9.151456451060325,-0.35927843386362646,0.08209785523287301,29.63241377094965,53.233000000000004,-55.65,SI-01
2.6456689834594727,2020-07-25 12:00:00,8.324164199133396,-0.3830354427021622,0.07340818201032384,29.7048798969023,53.233000000000004,-55.65,SI-01
3.8194949626922607,2020-07-25 12:00:00,7.3100327808113,-0.401451062014633,0.055687451132137224,29.808921250180983,53.233000000000004,-55.65,SI-01
5.078224182128906,2020-07-25 12:00:00,6.444636360474247,-0.4081451336609256,0.03536066400351002,29.916508065762528,53.233000000000004,-55.65,SI-01
6.440614223480225,2020-07-25 12:00:00,5.709739276640349,-0.40619682241126603,0.01606026724865918,30.024462322776365,53.233000000000004,-55.65,SI-01
7.92956018447876,2020-07-25 12:00:00,4.9935363756070865,-0.39844363361676705,-0.010306133982537416,30.1416459967156,53.233000000000004,-55.65,SI-01
9.572997093200684,2020-07-25 12:00:00,4.338619306221048,-0.3851023817135225,-0.028126450323885083,30.2545344412244,53.233000000000004,-55.65,SI-01
11.404999732971191,2020-07-25 12:00:00,3.6528018092597088,-0.3687815703111958,-0.032178313049614875,30.372474160311782,53.233000000000004,-55.65,SI-01
13.467140197753906,2020-07-25 12:00:00,2.94749224039723,-0.35213170836069924,-0.0317754519602313,30.49414438491718,53.233000000000004,-55.65,SI-01
15.810070037841797,2020-07-25 12:00:00,2.205444103450061,-0.3343133890332052,-0.038623243692945,30.628071678468142,53.233000000000004,-55.65,SI-01
18.495559692382812,2020-07-25 12:00:00,1.5746376688486357,-0.3193828630542467,-0.03496786572936732,30.74882521241488,53.233000000000004,-55.65,SI-01
21.598819732666016,2020-07-25 12:00:00,1.2012971269932664,-0.3119339366111664,-0.03119041323187533,30.81676314706726,53.233000000000004,-55.65,SI-01
25.211410522460938,2020-07-25 12:00:00,0.6555542202263127,-0.2986450885634476,-0.01972140976877916,30.99231221212639,53.233000000000004,-55.65,SI-01
29.444730758666992,2020-07-25 12:00:00,-0.03306264757173217,-0.2561765695268467,0.004172161917572291,31.242185279207046,53.233000000000004,-55.65,SI-01
34.43415069580078,2020-07-25 12:00:00,-0.6441378514616871,-0.3609661227635566,-0.008331226505400255,31.494448513900945,53.233000000000004,-55.65,SI-01
40.344051361083984,2020-07-25 12:00:00,-0.8583765245162716,-0.3353613393895374,-0.06398056917914155,31.577134356696043,53.233000000000004,-55.65,SI-01
47.37369155883789,2020-07-25 12:00:00,-0.9865543701889159,-0.29178733810292623,-0.05544264428814304,31.72275846287376,53.233000000000004,-55.65,SI-01
55.76428985595703,2020-07-25 12:00:00,-1.1597419698722746,-0.2564058947704986,-0.05381023827069563,31.967999944094196,53.233000000000004,-55.65,SI-01
65.80726623535156,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
77.85385131835938,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
92.3260726928711,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
109.72930145263672,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
130.66600036621094,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
155.85069274902344,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
186.12559509277344,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
222.47520446777344,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
266.0403137207031,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
318.1274108886719,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
380.2130126953125,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
453.9377136230469,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
541.0889282226562,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
643.5667724609375,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
763.3331298828125,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
902.3392944335938,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
1062.43994140625,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
1245.291015625,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
1452.2509765625,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
1684.2840576171875,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
1941.8929443359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
2225.077880859375,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
2533.3359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
2865.702880859375,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
3220.820068359375,2020-07-25 12:00:00,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
