Depth [m],TIME,Temperature [degrees_C],LAT,LON,STATION
0.49402499198913574,2011-07-19 12:00:00,9.03720860210618,53.233000000000004,-55.65,SI-01
1.5413750410079956,2011-07-19 12:00:00,8.933793758875723,53.233000000000004,-55.65,SI-01
2.6456689834594727,2011-07-19 12:00:00,8.803846907816409,53.233000000000004,-55.65,SI-01
3.8194949626922607,2011-07-19 12:00:00,8.689340367119934,53.233000000000004,-55.65,SI-01
5.078224182128906,2011-07-19 12:00:00,8.554031675606016,53.233000000000004,-55.65,SI-01
6.440614223480225,2011-07-19 12:00:00,8.36189516667051,53.233000000000004,-55.65,SI-01
7.92956018447876,2011-07-19 12:00:00,8.065794802617472,53.233000000000004,-55.65,SI-01
9.572997093200684,2011-07-19 12:00:00,7.668842358460637,53.233000000000004,-55.65,SI-01
11.404999732971191,2011-07-19 12:00:00,7.177972877487347,53.233000000000004,-55.65,SI-01
13.467140197753906,2011-07-19 12:00:00,6.584088620472033,53.233000000000004,-55.65,SI-01
15.810070037841797,2011-07-19 12:00:00,5.921736578697437,53.233000000000004,-55.65,SI-01
18.495559692382812,2011-07-19 12:00:00,5.050335962482546,53.233000000000004,-55.65,SI-01
21.598819732666016,2011-07-19 12:00:00,4.022942201568094,53.233000000000004,-55.65,SI-01
25.211410522460938,2011-07-19 12:00:00,2.7782871847282147,53.233000000000004,-55.65,SI-01
29.444730758666992,2011-07-19 12:00:00,1.7273856029247603,53.233000000000004,-55.65,SI-01
34.43415069580078,2011-07-19 12:00:00,0.9345505596432325,53.233000000000004,-55.65,SI-01
40.344051361083984,2011-07-19 12:00:00,0.23582263711123788,53.233000000000004,-55.65,SI-01
47.37369155883789,2011-07-19 12:00:00,-0.2932239698601026,53.233000000000004,-55.65,SI-01
55.76428985595703,2011-07-19 12:00:00,-0.6873163859278943,53.233000000000004,-55.65,SI-01
65.80726623535156,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
77.85385131835938,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
92.3260726928711,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
109.72930145263672,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
130.66600036621094,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
155.85069274902344,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
186.12559509277344,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
222.47520446777344,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
266.0403137207031,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
318.1274108886719,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
380.2130126953125,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
453.9377136230469,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
541.0889282226562,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
643.5667724609375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
763.3331298828125,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
902.3392944335938,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
1062.43994140625,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
1245.291015625,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
1452.2509765625,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
1684.2840576171875,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
1941.8929443359375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
2225.077880859375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
2533.3359375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
2865.702880859375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
3220.820068359375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
3597.031982421875,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
3992.48388671875,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
4405.22412109375,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
4833.291015625,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
5274.7841796875,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
5727.9169921875,2011-07-19 12:00:00,nan,53.233000000000004,-55.65,SI-01
0.49402499198913574,2011-07-19 12:00:00,8.252330603257853,53.333,-55.5,SI-02
1.5413750410079956,2011-07-19 12:00:00,8.135118858667447,53.333,-55.5,SI-02
2.6456689834594727,2011-07-19 12:00:00,7.965915881502377,53.333,-55.5,SI-02
3.8194949626922607,2011-07-19 12:00:00,7.793793937387641,53.333,-55.5,SI-02
5.078224182128906,2011-07-19 12:00:00,7.597484560060929,53.333,-55.5,SI-02
6.440614223480225,2011-07-19 12:00:00,7.334473265505614,53.333,-55.5,SI-02
7.92956018447876,2011-07-19 12:00:00,6.986436882747931,53.333,-55.5,SI-02
9.572997093200684,2011-07-19 12:00:00,6.5761622132856425,53.333,-55.5,SI-02
11.404999732971191,2011-07-19 12:00:00,6.136643199034081,53.333,-55.5,SI-02
13.467140197753906,2011-07-19 12:00:00,5.623920953520368,53.333,-55.5,SI-02
15.810070037841797,2011-07-19 12:00:00,4.94205898920305,53.333,-55.5,SI-02
18.495559692382812,2011-07-19 12:00:00,4.001084250355009,53.333,-55.5,SI-02
