STATION LAT LON
SI-01 53.233 -55.650
SI-02 53.333 -55.500
SI-03 53.410 -55.357
SI-04 53.533 -55.145
SI-05 53.617 -55.000
SI-06 53.757 -54.777
SI-07 53.917 -54.500
SI-08 54.082 -54.217
SI-09 54.200 -54.000
SI-10 54.355 -53.733
SI-11 54.500 -53.500
SI-12 54.633 -53.250
SI-13 54.783 -53.000
SI-14 55.067 -52.500
