Depth [m],Salinity [1e-3],Temperature [degrees_C],Eastward velocity [m s-1],Northward velocity [m s-1],LAT,LON,STATION
0.49402499198913574,29.860452567844618,7.1121566743999205,0.03893169367190655,-0.24071682477146705,53.233000000000004,-55.65,SI-01
0.49402499198913574,29.860452567844618,7.1121566743999205,0.03893169367190655,-0.24071682477146705,53.233000000000004,-55.65,SI-01
1.5413750410079956,29.8722278048209,6.985210403737484,0.03789100192821936,-0.24296675751679672,53.233000000000004,-55.65,SI-01
1.5413750410079956,29.8722278048209,6.985210403737484,0.03789100192821936,-0.24296675751679672,53.233000000000004,-55.65,SI-01
2.6456689834594727,29.899034495611154,6.783438005113471,0.03561827737654376,-0.24565254220088306,53.233000000000004,-55.65,SI-01
2.6456689834594727,29.899034495611154,6.783438005113471,0.03561827737654376,-0.24565254220088306,53.233000000000004,-55.65,SI-01
3.8194949626922607,29.945180403821325,6.52504562306086,0.03154614400165387,-0.2486715003997859,53.233000000000004,-55.65,SI-01
3.8194949626922607,29.945180403821325,6.52504562306086,0.03154614400165387,-0.2486715003997859,53.233000000000004,-55.65,SI-01
5.078224182128906,30.014391802243548,6.207584045859679,0.02555246003063029,-0.25021898604846843,53.233000000000004,-55.65,SI-01
5.078224182128906,30.014391802243548,6.207584045859679,0.02555246003063029,-0.25021898604846843,53.233000000000004,-55.65,SI-01
6.440614223480225,30.11017882701891,5.824018676172603,0.01710984345517601,-0.2485347521399891,53.233000000000004,-55.65,SI-01
6.440614223480225,30.11017882701891,5.824018676172603,0.01710984345517601,-0.2485347521399891,53.233000000000004,-55.65,SI-01
7.92956018447876,30.232996313272714,5.3694186491072875,0.0021970717323130454,-0.24299800847313074,53.233000000000004,-55.65,SI-01
7.92956018447876,30.232996313272714,5.3694186491072875,0.0021970717323130454,-0.24299800847313074,53.233000000000004,-55.65,SI-01
9.572997093200684,30.37183101850039,4.900132449353495,-0.008703719254420157,-0.23314568672980018,53.233000000000004,-55.65,SI-01
9.572997093200684,30.37183101850039,4.900132449353495,-0.008703719254420157,-0.23314568672980018,53.233000000000004,-55.65,SI-01
11.404999732971191,30.52322072194329,4.396264530774053,-0.010096731942355617,-0.22224745630260329,53.233000000000004,-55.65,SI-01
11.404999732971191,30.52322072194329,4.396264530774053,-0.010096731942355617,-0.22224745630260329,53.233000000000004,-55.65,SI-01
13.467140197753906,30.68762838183513,3.839108377291459,-0.00917643408034195,-0.2104586300755479,53.233000000000004,-55.65,SI-01
13.467140197753906,30.68762838183513,3.839108377291459,-0.00917643408034195,-0.2104586300755479,53.233000000000004,-55.65,SI-01
15.810070037841797,30.862524040220052,3.2268199388128833,-0.014347875063097476,-0.19606671465371067,53.233000000000004,-55.65,SI-01
15.810070037841797,30.862524040220052,3.2268199388128833,-0.014347875063097476,-0.19606671465371067,53.233000000000004,-55.65,SI-01
18.495559692382812,31.042438595467534,2.588843180897804,-0.01151898670551875,-0.18345644272053946,53.233000000000004,-55.65,SI-01
18.495559692382812,31.042438595467534,2.588843180897804,-0.01151898670551875,-0.18345644272053946,53.233000000000004,-55.65,SI-01
21.598819732666016,31.204707237191634,2.0138611148658154,-0.011019311060297231,-0.17236004437753288,53.233000000000004,-55.65,SI-01
21.598819732666016,31.204707237191634,2.0138611148658154,-0.011019311060297231,-0.17236004437753288,53.233000000000004,-55.65,SI-01
25.211410522460938,31.41361350870264,1.3369367231798264,-0.00910597415679242,-0.1618262957702831,53.233000000000004,-55.65,SI-01
25.211410522460938,31.41361350870264,1.3369367231798264,-0.00910597415679242,-0.1618262957702831,53.233000000000004,-55.65,SI-01
29.444730758666992,31.67869316795388,0.5406705188693319,0.0028610837386132586,-0.1374720723792475,53.233000000000004,-55.65,SI-01
29.444730758666992,31.67869316795388,0.5406705188693319,0.0028610837386132586,-0.1374720723792475,53.233000000000004,-55.65,SI-01
34.43415069580078,31.920074294421255,-0.10338716188419816,-0.0036741825998129318,-0.20565462679860796,53.233000000000004,-55.65,SI-01
34.43415069580078,31.920074294421255,-0.10338716188419816,-0.0036741825998129318,-0.20565462679860796,53.233000000000004,-55.65,SI-01
40.344051361083984,32.07502693898854,-0.4741321800912055,-0.027305851641445802,-0.17181260004368665,53.233000000000004,-55.65,SI-01
40.344051361083984,32.07502693898854,-0.4741321800912055,-0.027305851641445802,-0.17181260004368665,53.233000000000004,-55.65,SI-01
47.37369155883789,32.18920906733791,-0.6901317337320014,-0.023551504274451834,-0.15012877755057022,53.233000000000004,-55.65,SI-01
47.37369155883789,32.18920906733791,-0.6901317337320014,-0.023551504274451834,-0.15012877755057022,53.233000000000004,-55.65,SI-01
55.76428985595703,32.36310835134485,-0.9364671667145316,-0.02623787173784017,-0.1257540185609884,53.233000000000004,-55.65,SI-01
55.76428985595703,32.36310835134485,-0.9364671667145316,-0.02623787173784017,-0.1257540185609884,53.233000000000004,-55.65,SI-01
65.80726623535156,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
65.80726623535156,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
77.85385131835938,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
77.85385131835938,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
92.3260726928711,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
92.3260726928711,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
109.72930145263672,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
109.72930145263672,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
130.66600036621094,nan,nan,nan,nan,53.233000000000004,-55.65,SI-01
