Depth [m],TIME,Temperature [degrees_C],LAT,LON,STATION
0.49402499198913574,2020-07-24 12:00:00,9.556867995332647,53.233000000000004,-55.65,SI-01
1.5413750410079956,2020-07-24 12:00:00,9.056340706001427,53.233000000000004,-55.65,SI-01
2.6456689834594727,2020-07-24 12:00:00,8.128423492202277,53.233000000000004,-55.65,SI-01
3.8194949626922607,2020-07-24 12:00:00,7.198276471051667,53.233000000000004,-55.65,SI-01
5.078224182128906,2020-07-24 12:00:00,6.407436004683599,53.233000000000004,-55.65,SI-01
6.440614223480225,2020-07-24 12:00:00,5.709221637196846,53.233000000000004,-55.65,SI-01
7.92956018447876,2020-07-24 12:00:00,5.0133793636349555,53.233000000000004,-55.65,SI-01
9.572997093200684,2020-07-24 12:00:00,4.374115197332655,53.233000000000004,-55.65,SI-01
11.404999732971191,2020-07-24 12:00:00,3.697622159095328,53.233000000000004,-55.65,SI-01
13.467140197753906,2020-07-24 12:00:00,2.9771502942668326,53.233000000000004,-55.65,SI-01
15.810070037841797,2020-07-24 12:00:00,2.2485317504999704,53.233000000000004,-55.65,SI-01
18.495559692382812,2020-07-24 12:00:00,1.6366104626123743,53.233000000000004,-55.65,SI-01
21.598819732666016,2020-07-24 12:00:00,1.2501759726998083,53.233000000000004,-55.65,SI-01
25.211410522460938,2020-07-24 12:00:00,0.7728859176635152,53.233000000000004,-55.65,SI-01
29.444730758666992,2020-07-24 12:00:00,0.027468490292099405,53.233000000000004,-55.65,SI-01
34.43415069580078,2020-07-24 12:00:00,-0.6413546120656849,53.233000000000004,-55.65,SI-01
40.344051361083984,2020-07-24 12:00:00,-0.8485999369977514,53.233000000000004,-55.65,SI-01
47.37369155883789,2020-07-24 12:00:00,-1.0187820143633857,53.233000000000004,-55.65,SI-01
55.76428985595703,2020-07-24 12:00:00,-1.2187494063673059,53.233000000000004,-55.65,SI-01
65.80726623535156,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
77.85385131835938,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
92.3260726928711,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
109.72930145263672,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
130.66600036621094,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
155.85069274902344,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
186.12559509277344,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
222.47520446777344,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
266.0403137207031,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
318.1274108886719,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
380.2130126953125,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
453.9377136230469,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
541.0889282226562,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
643.5667724609375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
763.3331298828125,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
902.3392944335938,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
1062.43994140625,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
1245.291015625,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
1452.2509765625,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
1684.2840576171875,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
1941.8929443359375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
2225.077880859375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
2533.3359375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
2865.702880859375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
3220.820068359375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
3597.031982421875,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
3992.48388671875,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
4405.22412109375,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
4833.291015625,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
5274.7841796875,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
5727.9169921875,2020-07-24 12:00:00,nan,53.233000000000004,-55.65,SI-01
0.49402499198913574,2020-07-24 12:00:00,9.063365155204622,53.333,-55.5,SI-02
1.5413750410079956,2020-07-24 12:00:00,8.746392063756426,53.333,-55.5,SI-02
2.6456689834594727,2020-07-24 12:00:00,8.225691028759995,53.333,-55.5,SI-02
3.8194949626922607,2020-07-24 12:00:00,7.608336630802239,53.333,-55.5,SI-02
5.078224182128906,2020-07-24 12:00:00,6.972578288372073,53.333,-55.5,SI-02
6.440614223480225,2020-07-24 12:00:00,6.357327758441908,53.333,-55.5,SI-02
7.92956018447876,2020-07-24 12:00:00,5.728949091129039,53.333,-55.5,SI-02
9.572997093200684,2020-07-24 12:00:00,5.065456994684091,53.333,-55.5,SI-02
11.404999732971191,2020-07-24 12:00:00,4.369028308639128,53.333,-55.5,SI-02
13.467140197753906,2020-07-24 12:00:00,3.614724720496288,53.333,-55.5,SI-02
15.810070037841797,2020-07-24 12:00:00,2.8567298298164143,53.333,-55.5,SI-02
18.495559692382812,2020-07-24 12:00:00,2.1419011404633426,53.333,-55.5,SI-02
