STATION LAT LON
WB-01 50.23 -56.45
WB-02 50.30 -56.18
WB-03 50.45 -55.62
WB-04 50.67 -55.00
WB-05 50.80 -54.50
WB-06 50.85 -54.33
WB-07 50.95 -54.00
WB-08 51.08 -53.50
WB-09 51.23 -53.00
WB-10 51.30 -52.72
WB-11 51.37 -52.48
WB-12 51.50 -52.00
WB-13 51.65 -51.50
WB-14 51.79 -50.99
WB-15 51.87 -50.71
WB-16 51.90 -50.60
WB-17 51.93 -50.47
WB-18 51.99 -50.25
WB-19 52.12 -49.75
WB-20 52.26 -49.25
